EX_IDX,LI_IDX,APP_STD,AP_ED,EX_STD,EX_ED,EX_ROUND,EX_RD
1,1,2020-05-12,2020-05-15,2020-06-06,2020-06-06,2,2020-06-26
2,1,2020-07-28,2020-07-31,2020-08-22,2020-08-22,3,2020-09-11
3,1,2020-09-04,2020-09-07,2020-09-26,2020-09-26,4,2020-10-08
4,1,2021-01-25,2021-01-28,2021-03-07,2021-03-07,1,2021-03-19
5,1,2021-04-12,2021-04-15,2021-05-15,2021-05-15,2,2021-06-02
6,1,2021-07-12,2021-07-15,2021-08-14,2021-08-14,3,2021-09-01
7,1,2022-01-24,2022-01-27,2022-03-05,2022-03-05,1,2022-03-23
8,1,2022-03-28,2022-03-31,2022-04-24,2022-04-24,2,2022-05-18
9,1,2022-06-07,2022-06-10,2022-07-02,2022-07-22,3,2022-08-10
10,1,2023-01-10,2023-01-13,2023-02-13,2023-02-28,1,2023-03-21
11,1,2023-04-17,2023-04-20,2023-05-13,2023-06-04,2,2023-06-14
12,1,2023-06-19,2023-06-22,2023-07-08,2023-07-23,3,2023-08-02
13,1,2024-01-23,2024-01-28,2024-02-15,2024-03-07,1,2024-03-13
14,1,2024-04-16,2024-04-19,2024-05-09,2024-05-28,2,2024-06-05
15,1,2024-06-18,2024-06-21,2024-07-05,2024-07-27,3,2024-08-07
16,1,2025-01-13,2025-01-16,2025-02-07,2025-03-04,1,2025-03-12
17,1,2025-04-14,2025-04-17,2025-05-10,2025-05-30,2,2025-06-11
18,1,2025-07-21,2025-07-24,2025-08-09,2025-09-01,3,2025-09-10
